ISBN,"Book title",Author_id,publisher_id
9789137152615,"Det första chiffret",136,15
9789178034482,"LasseMajas sommarlovsbok. En dag på stranden",132,11
9789137152684,"En bur av guld",137,15
9789188743121,"Handbok i inredning och styling",135,14
